student_id,section,subsection,video_id,date_viewed,duration_seconds,watched_seconds
3,Week 1,Lecture 1,lec1_v4,2018-09-24,402,116
4,Week 1,Lecture 1,lec1_v0,2018-09-17,389,17
5,Week 1,Lecture 1,lec1_v3,2018-09-17,364,357
6,Week 1,Lecture 1,lec1_v0,2018-09-17,389,272
6,Week 1,Lecture 1,lec1_v1,2018-10-15,564,172
6,Week 1,Lecture 1,lec1_v2,2018-10-15,343,103
6,Week 1,Lecture 1,lec1_v3,2018-10-14,364,43
6,Week 1,Lecture 1,lec1_v4,2018-10-29,402,79
6,Week 1,Lecture 1,lec1_v5,2018-11-20,208,192
6,Week 1,Lecture 1,lec1_v6,2018-12-09,366,314
6,Week 1,Lecture 1,lec1_v7,2018-12-09,422,20
6,Week 1,Lecture 2,lec2_v0,2018-12-09,265,59
6,Week 1,Lecture 2,lec2_v1,2018-12-09,163,163
6,Week 1,Lecture 2,lec2_v2,2018-10-15,509,280
6,Week 1,Lecture 2,lec2_v3,2018-12-09,453,1
6,Week 2,Lecture 3,lec3_v1,2018-12-09,434,228
8,Week 1,Lecture 1,lec1_v0,2018-09-17,389,69
8,Week 1,Lecture 1,lec1_v1,2018-09-17,564,124
8,Week 1,Lecture 1,lec1_v2,2018-09-18,343,226
8,Week 1,Lecture 1,lec1_v3,2018-09-23,364,204
8,Week 1,Lecture 1,lec1_v4,2018-10-10,402,60
9,Week 1,Lecture 1,lec1_v0,2018-09-17,389,159
9,Week 1,Lecture 1,lec1_v1,2018-09-29,564,474
9,Week 1,Lecture 1,lec1_v4,2018-09-29,402,106
10,Week 1,Lecture 1,lec1_v0,2018-09-18,389,389
10,Week 1,Lecture 1,lec1_v1,2018-09-18,564,62
10,Week 1,Lecture 1,lec1_v2,2018-09-19,343,343
10,Week 1,Lecture 1,lec1_v3,2018-09-19,364,364
10,Week 1,Lecture 1,lec1_v4,2018-09-19,402,402
10,Week 1,Lecture 1,lec1_v5,2018-09-19,208,208
10,Week 1,Lecture 1,lec1_v6,2018-09-19,366,366
10,Week 1,Lecture 1,lec1_v7,2018-09-25,422,422
10,Week 1,Lecture 2,lec2_v0,2018-09-26,265,148
10,Week 1,Lecture 2,lec2_v1,2018-09-30,163,163
10,Week 1,Lecture 2,lec2_v2,2018-10-16,509,509
10,Week 1,Lecture 2,lec2_v3,2018-10-16,453,453
10,Week 2,Lecture 3,lec3_v0,2018-10-30,584,584
10,Week 2,Lecture 3,lec3_v1,2018-10-30,434,434
10,Week 2,Lecture 3,lec3_v10,2018-10-30,343,343
10,Week 2,Lecture 3,lec3_v11,2018-10-30,331,331
10,Week 2,Lecture 3,lec3_v2,2018-10-30,416,416
10,Week 2,Lecture 3,lec3_v3,2018-11-01,195,89
10,Week 2,Lecture 3,lec3_v4,2018-11-06,127,127
10,Week 2,Lecture 3,lec3_v5,2018-11-06,374,374
10,Week 2,Lecture 3,lec3_v6,2018-11-13,148,148
10,Week 2,Lecture 3,lec3_v7,2018-11-13,211,211
10,Week 2,Lecture 3,lec3_v8,2018-11-13,236,236
10,Week 2,Lecture 3,lec3_v9,2018-11-13,134,134
10,Week 2,Lecture 4,lec4_v0,2018-11-13,427,427
10,Week 2,Lecture 4,lec4_v1,2018-11-13,360,360
10,Week 2,Lecture 4,lec4_v2,2018-11-13,438,438
10,Week 2,Lecture 4,lec4_v3,2018-11-13,339,339
10,Week 2,Lecture 4,lec4_v4,2018-11-13,253,174
10,Week 2,Lecture 4,lec4_v5,2018-11-13,599,599
10,Week 2,Lecture 4,lec4_v6,2018-11-13,598,598
10,Week 2,Lecture 4,lec4_v7,2018-11-13,524,524
10,Week 3,Lecture 5,lec5_v0,2018-11-13,230,230
10,Week 3,Lecture 5,lec5_v1,2018-11-23,259,259
10,Week 3,Lecture 5,lec5_v2,2018-11-23,153,153
10,Week 3,Lecture 5,lec5_v3,2018-11-23,488,488
10,Week 3,Lecture 5,lec5_v4,2018-11-23,312,312
10,Week 3,Lecture 5,lec5_v5,2018-11-23,527,41
10,Week 3,Lecture 6,lec6_v0,2018-11-23,527,527
10,Week 3,Lecture 6,lec6_v1,2018-11-23,120,120
10,Week 3,Lecture 6,lec6_v10,2018-11-23,249,249
10,Week 3,Lecture 6,lec6_v11,2018-11-26,161,161
10,Week 3,Lecture 6,lec6_v2,2018-11-23,220,220
10,Week 3,Lecture 6,lec6_v3,2018-11-26,557,557
10,Week 3,Lecture 6,lec6_v4,2018-11-26,346,346
10,Week 3,Lecture 6,lec6_v5,2018-11-26,591,207
10,Week 3,Lecture 6,lec6_v6,2018-11-26,311,311
10,Week 3,Lecture 6,lec6_v7,2018-11-26,155,155
10,Week 3,Lecture 6,lec6_v8,2018-11-26,422,422
10,Week 3,Lecture 6,lec6_v9,2018-11-26,494,421
10,Week 4,Lecture 7,lec7_v0,2018-12-16,484,484
10,Week 4,Lecture 7,lec7_v1,2018-12-16,176,176
10,Week 4,Lecture 7,lec7_v10,2018-12-23,472,472
10,Week 4,Lecture 7,lec7_v11,2018-12-23,182,182
10,Week 4,Lecture 7,lec7_v2,2018-12-23,238,238
10,Week 4,Lecture 7,lec7_v3,2018-12-23,168,168
10,Week 4,Lecture 7,lec7_v4,2018-12-23,148,148
10,Week 4,Lecture 7,lec7_v5,2018-12-23,503,372
10,Week 4,Lecture 7,lec7_v6,2018-12-23,205,205
10,Week 4,Lecture 7,lec7_v7,2018-12-23,389,389
10,Week 4,Lecture 7,lec7_v8,2018-12-23,335,335
11,Week 1,Lecture 1,lec1_v0,2018-09-17,389,306
11,Week 1,Lecture 1,lec1_v5,2018-09-19,208,81
12,Week 1,Lecture 1,lec1_v0,2018-10-06,389,386
12,Week 1,Lecture 1,lec1_v1,2018-10-16,564,511
12,Week 1,Lecture 1,lec1_v2,2018-10-16,343,272
12,Week 1,Lecture 1,lec1_v3,2018-10-01,364,364
12,Week 1,Lecture 1,lec1_v4,2018-10-01,402,210
13,Week 1,Lecture 1,lec1_v0,2018-09-16,389,264
13,Week 1,Lecture 1,lec1_v1,2018-09-20,564,434
13,Week 1,Lecture 1,lec1_v2,2018-09-27,343,341
13,Week 1,Lecture 1,lec1_v3,2018-09-20,364,308
13,Week 1,Lecture 1,lec1_v7,2018-10-20,422,9
14,Week 1,Lecture 1,lec1_v0,2018-09-21,389,389
14,Week 1,Lecture 1,lec1_v1,2018-09-17,564,564
14,Week 1,Lecture 1,lec1_v2,2018-10-07,343,343
14,Week 1,Lecture 1,lec1_v3,2018-10-07,364,286
14,Week 1,Lecture 1,lec1_v4,2018-10-13,402,402
14,Week 1,Lecture 1,lec1_v5,2018-10-13,208,208
14,Week 1,Lecture 1,lec1_v6,2018-10-13,366,266
14,Week 1,Lecture 1,lec1_v7,2018-10-13,422,422
14,Week 1,Lecture 2,lec2_v0,2018-10-13,265,265
14,Week 1,Lecture 2,lec2_v1,2018-10-20,163,163
14,Week 1,Lecture 2,lec2_v2,2018-10-20,509,509
14,Week 1,Lecture 2,lec2_v3,2018-10-20,453,453
14,Week 2,Lecture 3,lec3_v0,2018-10-29,584,584
14,Week 2,Lecture 3,lec3_v1,2018-10-29,434,434
14,Week 2,Lecture 3,lec3_v10,2018-10-20,343,343
14,Week 2,Lecture 3,lec3_v11,2018-10-29,331,331
14,Week 2,Lecture 3,lec3_v2,2018-10-29,416,71
14,Week 2,Lecture 3,lec3_v3,2018-10-29,195,195
14,Week 2,Lecture 3,lec3_v4,2018-10-29,127,127
14,Week 2,Lecture 3,lec3_v5,2018-10-29,374,374
14,Week 2,Lecture 3,lec3_v6,2018-10-29,148,148
14,Week 2,Lecture 3,lec3_v7,2018-11-03,211,211
14,Week 2,Lecture 3,lec3_v8,2018-11-03,236,187
14,Week 2,Lecture 3,lec3_v9,2018-11-03,134,134
14,Week 2,Lecture 4,lec4_v0,2018-11-08,427,427
14,Week 2,Lecture 4,lec4_v1,2018-11-08,360,360
14,Week 2,Lecture 4,lec4_v2,2018-11-08,438,438
14,Week 2,Lecture 4,lec4_v3,2018-11-08,339,339
14,Week 2,Lecture 4,lec4_v4,2018-11-08,253,253
14,Week 2,Lecture 4,lec4_v5,2018-11-08,599,407
14,Week 2,Lecture 4,lec4_v6,2018-11-08,598,598
14,Week 2,Lecture 4,lec4_v7,2018-11-08,524,524
14,Week 3,Lecture 5,lec5_v0,2018-11-09,230,230
14,Week 3,Lecture 5,lec5_v1,2018-11-19,259,259
14,Week 3,Lecture 5,lec5_v2,2018-11-19,153,153
14,Week 3,Lecture 5,lec5_v3,2018-12-06,488,30
14,Week 3,Lecture 5,lec5_v4,2018-12-06,312,312
14,Week 3,Lecture 5,lec5_v5,2018-12-06,527,393
14,Week 3,Lecture 6,lec6_v0,2018-12-09,527,527
14,Week 3,Lecture 6,lec6_v1,2018-12-12,120,120
14,Week 3,Lecture 6,lec6_v10,2018-12-12,249,249
14,Week 3,Lecture 6,lec6_v11,2018-12-21,161,161
14,Week 3,Lecture 6,lec6_v2,2018-12-21,220,220
16,Week 1,Lecture 1,lec1_v0,2018-09-16,389,60
16,Week 1,Lecture 1,lec1_v1,2018-09-16,564,365
16,Week 1,Lecture 1,lec1_v3,2018-09-16,364,216
16,Week 1,Lecture 1,lec1_v4,2018-09-16,402,83
16,Week 1,Lecture 1,lec1_v7,2018-09-16,422,366
17,Week 1,Lecture 1,lec1_v0,2018-09-15,389,351
17,Week 1,Lecture 1,lec1_v1,2018-09-15,564,67
17,Week 1,Lecture 1,lec1_v3,2018-09-19,364,58
17,Week 1,Lecture 2,lec2_v3,2018-09-17,453,205
19,Week 1,Lecture 1,lec1_v0,2018-09-16,389,296
19,Week 1,Lecture 1,lec1_v1,2018-09-17,564,137
19,Week 1,Lecture 1,lec1_v2,2018-09-17,343,343
19,Week 1,Lecture 1,lec1_v3,2018-09-17,364,364
19,Week 1,Lecture 1,lec1_v4,2018-09-17,402,193
19,Week 1,Lecture 1,lec1_v5,2018-09-26,208,208
19,Week 1,Lecture 1,lec1_v6,2018-09-26,366,366
19,Week 1,Lecture 1,lec1_v7,2018-09-26,422,422
19,Week 1,Lecture 2,lec2_v0,2018-09-26,265,265
19,Week 1,Lecture 2,lec2_v1,2018-09-27,163,163
19,Week 1,Lecture 2,lec2_v2,2018-09-27,509,509
19,Week 1,Lecture 2,lec2_v3,2018-09-27,453,98
19,Week 2,Lecture 3,lec3_v0,2018-09-27,584,47
19,Week 2,Lecture 3,lec3_v1,2018-09-29,434,434
19,Week 2,Lecture 3,lec3_v10,2018-09-29,343,343
19,Week 2,Lecture 3,lec3_v11,2018-10-03,331,331
19,Week 2,Lecture 3,lec3_v2,2018-10-03,416,416
19,Week 2,Lecture 3,lec3_v3,2018-10-29,195,195
19,Week 2,Lecture 3,lec3_v4,2018-10-29,127,127
19,Week 2,Lecture 3,lec3_v5,2018-10-29,374,374
19,Week 2,Lecture 3,lec3_v6,2018-10-30,148,148
19,Week 2,Lecture 3,lec3_v7,2018-10-30,211,211
19,Week 2,Lecture 3,lec3_v8,2018-10-30,236,236
19,Week 2,Lecture 3,lec3_v9,2018-10-30,134,134
19,Week 2,Lecture 4,lec4_v0,2018-11-01,427,427
19,Week 2,Lecture 4,lec4_v1,2018-11-01,360,135
19,Week 2,Lecture 4,lec4_v2,2018-11-01,438,208
19,Week 2,Lecture 4,lec4_v3,2018-11-01,339,339
19,Week 2,Lecture 4,lec4_v4,2018-11-03,253,253
19,Week 2,Lecture 4,lec4_v5,2018-11-01,599,599
19,Week 2,Lecture 4,lec4_v6,2018-11-13,598,598
19,Week 2,Lecture 4,lec4_v7,2018-11-13,524,524
19,Week 3,Lecture 5,lec5_v0,2018-11-14,230,230
19,Week 3,Lecture 5,lec5_v1,2018-11-14,259,259
19,Week 3,Lecture 5,lec5_v2,2018-11-14,153,153
19,Week 3,Lecture 5,lec5_v3,2018-11-14,488,259
19,Week 3,Lecture 5,lec5_v4,2018-11-14,312,99
19,Week 3,Lecture 5,lec5_v5,2018-11-14,527,330
19,Week 3,Lecture 6,lec6_v0,2018-11-14,527,527
19,Week 3,Lecture 6,lec6_v1,2018-11-15,120,120
19,Week 3,Lecture 6,lec6_v11,2018-11-15,161,161
20,Week 1,Lecture 1,lec1_v0,2018-09-16,389,389
20,Week 1,Lecture 1,lec1_v1,2018-09-21,564,267
20,Week 1,Lecture 1,lec1_v2,2018-09-16,343,343
20,Week 1,Lecture 1,lec1_v3,2018-09-21,364,364
20,Week 1,Lecture 1,lec1_v4,2018-09-21,402,402
20,Week 1,Lecture 1,lec1_v5,2018-09-21,208,208
20,Week 1,Lecture 1,lec1_v6,2018-10-05,366,366
20,Week 1,Lecture 1,lec1_v7,2018-10-05,422,169
20,Week 1,Lecture 2,lec2_v0,2018-10-05,265,265
20,Week 1,Lecture 2,lec2_v1,2018-10-05,163,163
20,Week 1,Lecture 2,lec2_v2,2018-10-11,509,509
20,Week 1,Lecture 2,lec2_v3,2018-10-11,453,453
20,Week 2,Lecture 3,lec3_v0,2018-10-11,584,584
20,Week 2,Lecture 3,lec3_v1,2018-10-11,434,434
20,Week 2,Lecture 3,lec3_v10,2018-10-11,343,343
20,Week 2,Lecture 3,lec3_v11,2018-10-16,331,331
20,Week 2,Lecture 3,lec3_v2,2018-10-16,416,416
20,Week 2,Lecture 3,lec3_v3,2018-10-16,195,195
20,Week 2,Lecture 3,lec3_v4,2018-10-16,127,127
20,Week 2,Lecture 3,lec3_v5,2018-10-16,374,374
20,Week 2,Lecture 3,lec3_v6,2018-10-16,148,148
21,Week 1,Lecture 1,lec1_v1,2018-10-15,564,403
21,Week 1,Lecture 1,lec1_v3,2018-10-15,364,61
21,Week 1,Lecture 1,lec1_v4,2018-10-15,402,312
22,Week 1,Lecture 1,lec1_v1,2018-09-18,564,540
22,Week 1,Lecture 1,lec1_v2,2018-09-18,343,67
22,Week 1,Lecture 1,lec1_v4,2018-09-18,402,30
23,Week 1,Lecture 1,lec1_v0,2018-09-15,389,6
23,Week 1,Lecture 1,lec1_v1,2018-09-15,564,341
23,Week 1,Lecture 1,lec1_v2,2018-09-15,343,343
23,Week 1,Lecture 1,lec1_v3,2018-09-15,364,364
23,Week 1,Lecture 1,lec1_v4,2018-09-15,402,402
23,Week 1,Lecture 1,lec1_v5,2018-09-15,208,85
23,Week 1,Lecture 1,lec1_v6,2018-09-15,366,366
23,Week 1,Lecture 1,lec1_v7,2018-09-15,422,422
23,Week 1,Lecture 2,lec2_v0,2018-09-15,265,265
23,Week 1,Lecture 2,lec2_v1,2018-09-18,163,163
23,Week 1,Lecture 2,lec2_v2,2018-09-18,509,112
23,Week 1,Lecture 2,lec2_v3,2018-09-18,453,453
23,Week 2,Lecture 3,lec3_v0,2018-09-18,584,141
23,Week 2,Lecture 3,lec3_v1,2018-09-18,434,408
23,Week 2,Lecture 3,lec3_v10,2018-09-18,343,343
23,Week 2,Lecture 3,lec3_v11,2018-09-18,331,96
23,Week 2,Lecture 3,lec3_v2,2018-09-18,416,232
23,Week 2,Lecture 3,lec3_v3,2018-09-18,195,195
23,Week 2,Lecture 3,lec3_v4,2018-09-23,127,127
23,Week 2,Lecture 3,lec3_v5,2018-09-23,374,73
23,Week 2,Lecture 3,lec3_v6,2018-09-26,148,148
23,Week 2,Lecture 3,lec3_v7,2018-09-26,211,211
23,Week 2,Lecture 3,lec3_v8,2018-09-26,236,93
23,Week 2,Lecture 3,lec3_v9,2018-09-26,134,134
23,Week 2,Lecture 4,lec4_v0,2018-09-26,427,32
23,Week 2,Lecture 4,lec4_v1,2018-09-26,360,123
23,Week 2,Lecture 4,lec4_v2,2018-09-26,438,285
23,Week 2,Lecture 4,lec4_v3,2018-09-26,339,339
23,Week 2,Lecture 4,lec4_v4,2018-09-26,253,175
23,Week 2,Lecture 4,lec4_v5,2018-09-26,599,172
23,Week 2,Lecture 4,lec4_v6,2018-09-26,598,534
23,Week 2,Lecture 4,lec4_v7,2018-09-26,524,309
23,Week 3,Lecture 5,lec5_v0,2018-09-26,230,230
23,Week 3,Lecture 5,lec5_v1,2018-10-02,259,259
23,Week 3,Lecture 5,lec5_v2,2018-10-02,153,153
23,Week 3,Lecture 5,lec5_v3,2018-10-02,488,476
23,Week 3,Lecture 5,lec5_v4,2018-10-03,312,233
23,Week 3,Lecture 5,lec5_v5,2018-10-03,527,1
23,Week 3,Lecture 6,lec6_v0,2018-10-04,527,527
23,Week 3,Lecture 6,lec6_v1,2018-10-05,120,120
23,Week 3,Lecture 6,lec6_v10,2018-10-05,249,249
23,Week 3,Lecture 6,lec6_v11,2018-10-12,161,161
23,Week 3,Lecture 6,lec6_v2,2018-10-15,220,51
23,Week 3,Lecture 6,lec6_v3,2018-10-15,557,290
23,Week 3,Lecture 6,lec6_v4,2018-10-15,346,48
23,Week 3,Lecture 6,lec6_v5,2018-10-15,591,383
23,Week 3,Lecture 6,lec6_v6,2018-10-15,311,183
23,Week 3,Lecture 6,lec6_v7,2018-10-15,155,155
23,Week 3,Lecture 6,lec6_v8,2018-10-18,422,91
23,Week 3,Lecture 6,lec6_v9,2018-10-18,494,60
23,Week 4,Lecture 7,lec7_v0,2018-10-18,484,70
23,Week 4,Lecture 7,lec7_v1,2018-10-18,176,176
23,Week 4,Lecture 7,lec7_v10,2018-10-18,472,211
23,Week 4,Lecture 7,lec7_v11,2018-10-21,182,46
23,Week 4,Lecture 7,lec7_v2,2018-10-21,238,238
23,Week 4,Lecture 7,lec7_v3,2018-10-21,168,168
23,Week 4,Lecture 7,lec7_v4,2018-10-21,148,148
23,Week 4,Lecture 7,lec7_v5,2018-10-21,503,150
23,Week 4,Lecture 7,lec7_v6,2018-10-21,205,205
23,Week 4,Lecture 7,lec7_v7,2018-10-21,389,325
23,Week 4,Lecture 7,lec7_v8,2018-10-21,335,171
23,Week 4,Lecture 7,lec7_v9,2018-10-21,211,49
23,Week 4,Lecture 8,lec8_v0,2018-10-21,322,89
23,Week 4,Lecture 8,lec8_v1,2018-10-25,222,222
23,Week 4,Lecture 8,lec8_v2,2018-10-25,249,8
23,Week 4,Lecture 8,lec8_v3,2018-10-25,587,95
23,Week 4,Lecture 8,lec8_v4,2018-10-25,506,25
23,Week 5,Lecture 10,lec10_v0,2018-10-25,400,75
23,Week 5,Lecture 10,lec10_v1,2018-10-25,236,52
23,Week 5,Lecture 10,lec10_v2,2018-10-25,409,258
23,Week 5,Lecture 10,lec10_v3,2018-10-25,298,71
23,Week 5,Lecture 9,lec9_v0,2018-10-25,221,221
23,Week 5,Lecture 9,lec9_v1,2018-10-25,309,309
23,Week 5,Lecture 9,lec9_v10,2018-10-25,262,262
23,Week 5,Lecture 9,lec9_v2,2018-10-25,530,530
23,Week 5,Lecture 9,lec9_v3,2018-10-25,428,320
23,Week 5,Lecture 9,lec9_v4,2018-10-25,168,168
23,Week 5,Lecture 9,lec9_v5,2018-10-25,595,551
23,Week 5,Lecture 9,lec9_v6,2018-10-25,222,222
23,Week 5,Lecture 9,lec9_v7,2018-10-31,244,235
23,Week 5,Lecture 9,lec9_v8,2018-10-31,491,108
23,Week 5,Lecture 9,lec9_v9,2018-11-05,278,278
23,Week 6,Lecture 11,lec11_v0,2018-11-05,352,352
23,Week 6,Lecture 11,lec11_v1,2018-11-05,396,147
23,Week 6,Lecture 11,lec11_v10,2018-11-06,572,217
23,Week 6,Lecture 11,lec11_v11,2018-11-06,214,214
23,Week 6,Lecture 11,lec11_v2,2018-11-06,536,360
23,Week 6,Lecture 11,lec11_v3,2018-11-06,207,207
23,Week 6,Lecture 11,lec11_v4,2018-11-14,194,54
23,Week 6,Lecture 11,lec11_v5,2018-11-17,556,38
23,Week 6,Lecture 11,lec11_v6,2018-11-17,513,423
23,Week 6,Lecture 11,lec11_v7,2018-11-22,240,128
23,Week 6,Lecture 11,lec11_v8,2018-11-22,211,211
23,Week 6,Lecture 11,lec11_v9,2018-11-22,475,387
23,Week 6,Lecture 12,lec12_v0,2018-11-22,410,165
23,Week 6,Lecture 12,lec12_v1,2018-11-22,322,322
23,Week 6,Lecture 12,lec12_v10,2018-11-22,261,222
23,Week 6,Lecture 12,lec12_v2,2018-11-22,169,169
23,Week 6,Lecture 12,lec12_v3,2018-11-22,138,3
23,Week 6,Lecture 12,lec12_v4,2018-12-04,583,487
23,Week 6,Lecture 12,lec12_v5,2018-12-04,234,234
23,Week 6,Lecture 12,lec12_v6,2018-12-04,458,193
23,Week 6,Lecture 12,lec12_v7,2018-12-04,243,97
23,Week 6,Lecture 12,lec12_v8,2018-12-11,516,271
23,Week 6,Lecture 12,lec12_v9,2018-12-11,406,242
23,Week 7,Lecture 13,lec13_v0,2018-12-11,153,153
23,Week 7,Lecture 13,lec13_v1,2018-12-11,229,120
23,Week 7,Lecture 13,lec13_v2,2018-12-11,389,324
23,Week 7,Lecture 13,lec13_v3,2018-12-11,530,175
23,Week 7,Lecture 13,lec13_v4,2018-12-11,415,91
23,Week 7,Lecture 13,lec13_v5,2018-12-11,254,254
23,Week 7,Lecture 13,lec13_v6,2018-12-11,561,264
23,Week 7,Lecture 13,lec13_v7,2018-12-11,218,109
23,Week 7,Lecture 13,lec13_v8,2018-12-12,127,127
23,Week 7,Lecture 13,lec13_v9,2018-12-12,249,249
23,Week 7,Lecture 14,lec14_v0,2018-12-12,204,204
23,Week 7,Lecture 14,lec14_v1,2018-12-14,297,297
23,Week 7,Lecture 14,lec14_v2,2018-12-14,395,395
23,Week 7,Lecture 14,lec14_v3,2018-12-14,183,183
23,Week 8,Lecture 15,lec15_v0,2018-12-14,591,360
23,Week 8,Lecture 15,lec15_v1,2018-12-22,435,435
23,Week 8,Lecture 15,lec15_v10,2018-12-22,130,130
24,Week 1,Lecture 1,lec1_v0,2018-09-19,389,112
24,Week 1,Lecture 1,lec1_v1,2018-09-30,564,73
24,Week 1,Lecture 1,lec1_v2,2018-09-22,343,39
24,Week 1,Lecture 1,lec1_v3,2018-11-14,364,345
24,Week 1,Lecture 1,lec1_v4,2018-09-30,402,161
24,Week 1,Lecture 1,lec1_v5,2018-11-14,208,11
24,Week 1,Lecture 1,lec1_v6,2018-09-30,366,269
24,Week 1,Lecture 1,lec1_v7,2018-10-11,422,269
24,Week 1,Lecture 2,lec2_v2,2018-11-21,509,431
24,Week 1,Lecture 2,lec2_v3,2018-12-02,453,344
26,Week 1,Lecture 1,lec1_v0,2018-09-15,389,141
26,Week 1,Lecture 1,lec1_v1,2018-09-15,564,548
26,Week 1,Lecture 1,lec1_v2,2018-10-02,343,70
26,Week 1,Lecture 1,lec1_v3,2018-09-24,364,211
26,Week 1,Lecture 1,lec1_v4,2018-10-01,402,155
26,Week 1,Lecture 1,lec1_v5,2018-10-01,208,182
26,Week 1,Lecture 1,lec1_v6,2018-10-01,366,23
26,Week 1,Lecture 2,lec2_v0,2018-09-24,265,194
27,Week 1,Lecture 1,lec1_v0,2018-09-18,389,389
27,Week 1,Lecture 1,lec1_v1,2018-09-18,564,463
27,Week 1,Lecture 1,lec1_v2,2018-09-18,343,343
27,Week 1,Lecture 1,lec1_v3,2018-09-18,364,86
27,Week 1,Lecture 1,lec1_v4,2018-10-14,402,173
27,Week 1,Lecture 1,lec1_v5,2018-10-23,208,208
27,Week 1,Lecture 1,lec1_v6,2018-10-30,366,366
27,Week 1,Lecture 1,lec1_v7,2018-10-23,422,422
27,Week 1,Lecture 2,lec2_v0,2018-10-30,265,265
27,Week 1,Lecture 2,lec2_v1,2018-10-30,163,163
27,Week 1,Lecture 2,lec2_v2,2018-10-30,509,509
27,Week 1,Lecture 2,lec2_v3,2018-10-30,453,334
27,Week 2,Lecture 3,lec3_v0,2018-11-14,584,584
27,Week 2,Lecture 3,lec3_v1,2018-11-22,434,434
27,Week 2,Lecture 3,lec3_v10,2018-12-02,343,299
27,Week 2,Lecture 3,lec3_v11,2018-12-02,331,331
27,Week 2,Lecture 3,lec3_v2,2018-11-22,416,416
27,Week 2,Lecture 3,lec3_v3,2018-12-02,195,195
27,Week 2,Lecture 3,lec3_v4,2018-12-03,127,127
27,Week 2,Lecture 3,lec3_v5,2018-12-03,374,374
27,Week 2,Lecture 3,lec3_v6,2018-12-03,148,148
27,Week 2,Lecture 3,lec3_v7,2018-12-03,211,211
27,Week 2,Lecture 3,lec3_v8,2018-12-03,236,236
27,Week 2,Lecture 3,lec3_v9,2018-12-06,134,134
29,Week 1,Lecture 1,lec1_v0,2018-09-23,389,284
30,Week 1,Lecture 1,lec1_v0,2018-10-08,389,50
30,Week 1,Lecture 1,lec1_v2,2018-09-18,343,199
30,Week 1,Lecture 1,lec1_v3,2018-10-09,364,301
30,Week 1,Lecture 1,lec1_v4,2018-10-08,402,111
30,Week 1,Lecture 1,lec1_v5,2018-09-21,208,38
30,Week 1,Lecture 1,lec1_v6,2018-10-08,366,126
30,Week 1,Lecture 1,lec1_v7,2018-10-09,422,130
30,Week 1,Lecture 2,lec2_v0,2018-09-18,265,24
30,Week 1,Lecture 2,lec2_v1,2018-10-09,163,163
30,Week 1,Lecture 2,lec2_v2,2018-10-15,509,321
30,Week 2,Lecture 3,lec3_v1,2018-10-24,434,44
31,Week 1,Lecture 1,lec1_v0,2018-09-16,389,389
31,Week 1,Lecture 1,lec1_v1,2018-09-20,564,564
31,Week 1,Lecture 1,lec1_v2,2018-09-20,343,343
31,Week 1,Lecture 1,lec1_v3,2018-09-20,364,364
31,Week 1,Lecture 1,lec1_v4,2018-09-20,402,402
31,Week 1,Lecture 1,lec1_v5,2018-09-20,208,208
31,Week 1,Lecture 1,lec1_v6,2018-09-20,366,366
